"Confidence"	"Date"	"geogcode"	"variable"	"value type"	"value"	"flag"
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF3+ - aged 16-64"	"Numerator"	46000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF3+ - aged 16-64"	"Denominator"	76100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF3+ - aged 16-64"	"Percent"	60.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF3+ - aged 16-64"	"Conf"	4.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF2+ - aged 16-64"	"Numerator"	65200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF2+ - aged 16-64"	"Denominator"	76100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF2+ - aged 16-64"	"Percent"	85.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF2+ - aged 16-64"	"Conf"	3.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF1+ - aged 16-64"	"Numerator"	68400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF1+ - aged 16-64"	"Denominator"	76100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF1+ - aged 16-64"	"Percent"	89.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF1+ - aged 16-64"	"Conf"	2.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% aged 16-64 who are self employed"	"Numerator"	9400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% aged 16-64 who are self employed"	"Denominator"	122900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% aged 16-64 who are self employed"	"Percent"	7.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% aged 16-64 who are self employed"	"Conf"	2.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"Unemployment rate - aged 16-64"	"Numerator"	3700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"Unemployment rate - aged 16-64"	"Denominator"	93900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"Unemployment rate - aged 16-64"	"Percent"	4.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"Unemployment rate - aged 16-64"	"Conf"	*	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF4+ - aged 16-64"	"Numerator"	49300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF4+ - aged 16-64"	"Denominator"	120100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF4+ - aged 16-64"	"Percent"	41.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF4+ - aged 16-64"	"Conf"	5.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF3+ - aged 16-64"	"Numerator"	73900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF3+ - aged 16-64"	"Denominator"	120100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF3+ - aged 16-64"	"Percent"	61.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF3+ - aged 16-64"	"Conf"	4.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF2+ - aged 16-64"	"Numerator"	102000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF2+ - aged 16-64"	"Denominator"	120100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF2+ - aged 16-64"	"Percent"	84.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF2+ - aged 16-64"	"Conf"	3.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF1+ - aged 16-64"	"Numerator"	107400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF1+ - aged 16-64"	"Denominator"	120100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF1+ - aged 16-64"	"Percent"	89.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000004"	"% with RQF1+ - aged 16-64"	"Conf"	3.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% aged 16-64 who are self employed"	"Numerator"	4800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% aged 16-64 who are self employed"	"Denominator"	63500	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% aged 16-64 who are self employed"	"Percent"	7.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% aged 16-64 who are self employed"	"Conf"	2.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"Unemployment rate - aged 16-64"	"Numerator"	2300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"Unemployment rate - aged 16-64"	"Denominator"	51900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"Unemployment rate - aged 16-64"	"Percent"	4.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"Unemployment rate - aged 16-64"	"Conf"	2.2	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF4+ - aged 16-64"	"Numerator"	23300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF4+ - aged 16-64"	"Denominator"	61600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF4+ - aged 16-64"	"Percent"	37.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF4+ - aged 16-64"	"Conf"	4.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF3+ - aged 16-64"	"Numerator"	38900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF3+ - aged 16-64"	"Denominator"	61600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF3+ - aged 16-64"	"Percent"	63.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF3+ - aged 16-64"	"Conf"	4.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF2+ - aged 16-64"	"Numerator"	53200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF2+ - aged 16-64"	"Denominator"	61600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF2+ - aged 16-64"	"Percent"	86.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF2+ - aged 16-64"	"Conf"	3.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF1+ - aged 16-64"	"Numerator"	54600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF1+ - aged 16-64"	"Denominator"	61600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF1+ - aged 16-64"	"Percent"	88.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000005"	"% with RQF1+ - aged 16-64"	"Conf"	3.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% aged 16-64 who are self employed"	"Numerator"	17800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% aged 16-64 who are self employed"	"Denominator"	326000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% aged 16-64 who are self employed"	"Percent"	5.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% aged 16-64 who are self employed"	"Conf"	2.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"Unemployment rate - aged 16-64"	"Numerator"	9600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"Unemployment rate - aged 16-64"	"Denominator"	243000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"Unemployment rate - aged 16-64"	"Percent"	3.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"Unemployment rate - aged 16-64"	"Conf"	2.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF4+ - aged 16-64"	"Numerator"	111600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF4+ - aged 16-64"	"Denominator"	314900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF4+ - aged 16-64"	"Percent"	35.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF4+ - aged 16-64"	"Conf"	4.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF3+ - aged 16-64"	"Numerator"	191900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF3+ - aged 16-64"	"Denominator"	314900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF3+ - aged 16-64"	"Percent"	61.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF3+ - aged 16-64"	"Conf"	4.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF2+ - aged 16-64"	"Numerator"	272900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF2+ - aged 16-64"	"Denominator"	314900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF2+ - aged 16-64"	"Percent"	86.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF2+ - aged 16-64"	"Conf"	3.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF1+ - aged 16-64"	"Numerator"	278800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF1+ - aged 16-64"	"Denominator"	314900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF1+ - aged 16-64"	"Percent"	88.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000047"	"% with RQF1+ - aged 16-64"	"Conf"	2.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% aged 16-64 who are self employed"	"Numerator"	14900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% aged 16-64 who are self employed"	"Denominator"	182900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% aged 16-64 who are self employed"	"Percent"	8.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% aged 16-64 who are self employed"	"Conf"	2.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"Unemployment rate - aged 16-64"	"Numerator"	2800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"Unemployment rate - aged 16-64"	"Denominator"	131700	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"Unemployment rate - aged 16-64"	"Percent"	2.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"Unemployment rate - aged 16-64"	"Conf"	1.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF4+ - aged 16-64"	"Numerator"	73000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF4+ - aged 16-64"	"Denominator"	169800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF4+ - aged 16-64"	"Percent"	43.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF4+ - aged 16-64"	"Conf"	4.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF3+ - aged 16-64"	"Numerator"	104900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF3+ - aged 16-64"	"Denominator"	169800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF3+ - aged 16-64"	"Percent"	61.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF3+ - aged 16-64"	"Conf"	4.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF2+ - aged 16-64"	"Numerator"	140100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF2+ - aged 16-64"	"Denominator"	169800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF2+ - aged 16-64"	"Percent"	82.5	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF2+ - aged 16-64"	"Conf"	3.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF1+ - aged 16-64"	"Numerator"	142500	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF1+ - aged 16-64"	"Denominator"	169800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF1+ - aged 16-64"	"Percent"	83.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000057"	"% with RQF1+ - aged 16-64"	"Conf"	3.2	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% aged 16-64 who are self employed"	"Numerator"	13500	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% aged 16-64 who are self employed"	"Denominator"	201800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% aged 16-64 who are self employed"	"Percent"	6.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% aged 16-64 who are self employed"	"Conf"	2.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"Unemployment rate - aged 16-64"	"Numerator"	9100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"Unemployment rate - aged 16-64"	"Denominator"	141100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"Unemployment rate - aged 16-64"	"Percent"	6.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"Unemployment rate - aged 16-64"	"Conf"	2.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF4+ - aged 16-64"	"Numerator"	99200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF4+ - aged 16-64"	"Denominator"	192900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF4+ - aged 16-64"	"Percent"	51.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF4+ - aged 16-64"	"Conf"	4.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF3+ - aged 16-64"	"Numerator"	140000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF3+ - aged 16-64"	"Denominator"	192900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF3+ - aged 16-64"	"Percent"	72.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF3+ - aged 16-64"	"Conf"	4.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF2+ - aged 16-64"	"Numerator"	163600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF2+ - aged 16-64"	"Denominator"	192900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF2+ - aged 16-64"	"Percent"	84.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF2+ - aged 16-64"	"Conf"	3.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF1+ - aged 16-64"	"Numerator"	166500	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF1+ - aged 16-64"	"Denominator"	192900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF1+ - aged 16-64"	"Percent"	86.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E08000021"	"% with RQF1+ - aged 16-64"	"Conf"	3.2	""
