"Population"	"Units"	"Date"	"geogcode"	"Industry (current)"	"value type"	"value"	"flag"
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"H: Transport and storage"	"%"	3.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"I: Accommodation and food service activities"	"number"	1845	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"I: Accommodation and food service activities"	"%"	4.9	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"J: Information and communication"	"number"	834	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"J: Information and communication"	"%"	2.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"K: Financial and insurance activities"	"number"	628	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"K: Financial and insurance activities"	"%"	1.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"L: Real estate activities"	"number"	544	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"L: Real estate activities"	"%"	1.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"M: Professional, scientific and technical activities"	"number"	1689	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"M: Professional, scientific and technical activities"	"%"	4.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"N: Administrative and support service activities"	"number"	1645	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"N: Administrative and support service activities"	"%"	4.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"O: Public administration and defence; compulsory social security"	"number"	2632	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"O: Public administration and defence; compulsory social security"	"%"	7.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"P: Education"	"number"	3763	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"P: Education"	"%"	10.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"Q: Human health and social work activities"	"number"	6354	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"Q: Human health and social work activities"	"%"	16.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"R, S, T, U Other"	"number"	1341	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"R, S, T, U Other"	"%"	3.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	56431	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"A: Agriculture, Forestry and fishing"	"number"	82	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"A: Agriculture, Forestry and fishing"	"%"	0.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"B: Mining and quarrying"	"number"	604	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"B: Mining and quarrying"	"%"	1.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"C: Manufacturing"	"number"	3989	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"C: Manufacturing"	"%"	7.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"D: Electricity, gas, steam and air conditioning supply"	"number"	439	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"D: Electricity, gas, steam and air conditioning supply"	"%"	0.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	397	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	0.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"F: Construction"	"number"	4797	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"F: Construction"	"%"	8.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	9048	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"%"	16.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"H: Transport and storage"	"number"	3102	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"H: Transport and storage"	"%"	5.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"I: Accommodation and food service activities"	"number"	3034	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"I: Accommodation and food service activities"	"%"	5.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"J: Information and communication"	"number"	1529	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"J: Information and communication"	"%"	2.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"K: Financial and insurance activities"	"number"	1203	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"K: Financial and insurance activities"	"%"	2.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"L: Real estate activities"	"number"	762	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"L: Real estate activities"	"%"	1.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"M: Professional, scientific and technical activities"	"number"	2083	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"M: Professional, scientific and technical activities"	"%"	3.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"N: Administrative and support service activities"	"number"	2735	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"N: Administrative and support service activities"	"%"	4.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"O: Public administration and defence; compulsory social security"	"number"	3610	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"O: Public administration and defence; compulsory social security"	"%"	6.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"P: Education"	"number"	5282	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"P: Education"	"%"	9.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"Q: Human health and social work activities"	"number"	11756	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"Q: Human health and social work activities"	"%"	20.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"R, S, T, U Other"	"number"	1979	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000002"	"R, S, T, U Other"	"%"	3.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	55620	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"A: Agriculture, Forestry and fishing"	"number"	283	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"A: Agriculture, Forestry and fishing"	"%"	0.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"B: Mining and quarrying"	"number"	1052	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"B: Mining and quarrying"	"%"	1.9	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"C: Manufacturing"	"number"	4610	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"C: Manufacturing"	"%"	8.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"D: Electricity, gas, steam and air conditioning supply"	"number"	537	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"D: Electricity, gas, steam and air conditioning supply"	"%"	1.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	467	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	0.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"F: Construction"	"number"	5387	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"F: Construction"	"%"	9.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	8317	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"%"	15.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"H: Transport and storage"	"number"	2676	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"H: Transport and storage"	"%"	4.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"I: Accommodation and food service activities"	"number"	2815	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"I: Accommodation and food service activities"	"%"	5.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"J: Information and communication"	"number"	1109	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"J: Information and communication"	"%"	2.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"K: Financial and insurance activities"	"number"	854	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"K: Financial and insurance activities"	"%"	1.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"L: Real estate activities"	"number"	919	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"L: Real estate activities"	"%"	1.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"M: Professional, scientific and technical activities"	"number"	2557	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"M: Professional, scientific and technical activities"	"%"	4.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"N: Administrative and support service activities"	"number"	2547	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"N: Administrative and support service activities"	"%"	4.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"O: Public administration and defence; compulsory social security"	"number"	3698	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"O: Public administration and defence; compulsory social security"	"%"	6.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"P: Education"	"number"	5188	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"P: Education"	"%"	9.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"Q: Human health and social work activities"	"number"	10322	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"Q: Human health and social work activities"	"%"	18.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"R, S, T, U Other"	"number"	2282	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000003"	"R, S, T, U Other"	"%"	4.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	86447	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"A: Agriculture, Forestry and fishing"	"number"	259	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"A: Agriculture, Forestry and fishing"	"%"	0.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"B: Mining and quarrying"	"number"	938	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"B: Mining and quarrying"	"%"	1.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"C: Manufacturing"	"number"	6914	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"C: Manufacturing"	"%"	8.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"D: Electricity, gas, steam and air conditioning supply"	"number"	850	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"D: Electricity, gas, steam and air conditioning supply"	"%"	1.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	586	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	0.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"F: Construction"	"number"	7319	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"F: Construction"	"%"	8.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	13503	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"%"	15.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"H: Transport and storage"	"number"	4233	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"H: Transport and storage"	"%"	4.9	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"I: Accommodation and food service activities"	"number"	3879	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"I: Accommodation and food service activities"	"%"	4.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"J: Information and communication"	"number"	2649	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"J: Information and communication"	"%"	3.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"K: Financial and insurance activities"	"number"	2231	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"K: Financial and insurance activities"	"%"	2.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"L: Real estate activities"	"number"	1223	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"L: Real estate activities"	"%"	1.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"M: Professional, scientific and technical activities"	"number"	4629	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"M: Professional, scientific and technical activities"	"%"	5.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"N: Administrative and support service activities"	"number"	3814	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"N: Administrative and support service activities"	"%"	4.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"O: Public administration and defence; compulsory social security"	"number"	6455	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"O: Public administration and defence; compulsory social security"	"%"	7.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"P: Education"	"number"	8847	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"P: Education"	"%"	10.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"Q: Human health and social work activities"	"number"	14889	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"Q: Human health and social work activities"	"%"	17.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"R, S, T, U Other"	"number"	3229	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000004"	"R, S, T, U Other"	"%"	3.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	49295	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"A: Agriculture, Forestry and fishing"	"number"	311	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"A: Agriculture, Forestry and fishing"	"%"	0.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"B: Mining and quarrying"	"number"	135	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"B: Mining and quarrying"	"%"	0.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"C: Manufacturing"	"number"	4239	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"C: Manufacturing"	"%"	8.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"D: Electricity, gas, steam and air conditioning supply"	"number"	184	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"D: Electricity, gas, steam and air conditioning supply"	"%"	0.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	295	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	0.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"F: Construction"	"number"	3760	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"F: Construction"	"%"	7.6	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	8468	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"%"	17.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"H: Transport and storage"	"number"	2869	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"H: Transport and storage"	"%"	5.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"I: Accommodation and food service activities"	"number"	2295	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"I: Accommodation and food service activities"	"%"	4.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"J: Information and communication"	"number"	2053	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"J: Information and communication"	"%"	4.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"K: Financial and insurance activities"	"number"	1455	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"K: Financial and insurance activities"	"%"	3.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"L: Real estate activities"	"number"	522	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"L: Real estate activities"	"%"	1.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"M: Professional, scientific and technical activities"	"number"	2158	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"M: Professional, scientific and technical activities"	"%"	4.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"N: Administrative and support service activities"	"number"	2351	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"N: Administrative and support service activities"	"%"	4.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"O: Public administration and defence; compulsory social security"	"number"	4199	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"O: Public administration and defence; compulsory social security"	"%"	8.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"P: Education"	"number"	4293	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"P: Education"	"%"	8.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"Q: Human health and social work activities"	"number"	7872	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"Q: Human health and social work activities"	"%"	16.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"R, S, T, U Other"	"number"	1836	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000005"	"R, S, T, U Other"	"%"	3.7	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	222212	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"A: Agriculture, Forestry and fishing"	"number"	2329	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"A: Agriculture, Forestry and fishing"	"%"	1.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"B: Mining and quarrying"	"number"	810	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"B: Mining and quarrying"	"%"	0.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"C: Manufacturing"	"number"	24271	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"C: Manufacturing"	"%"	10.9	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"D: Electricity, gas, steam and air conditioning supply"	"number"	1837	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"D: Electricity, gas, steam and air conditioning supply"	"%"	0.8	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	2157	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	1.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"F: Construction"	"number"	20087	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"F: Construction"	"%"	9.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000047"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	32612	""
